Epoch,Iteration,Loss
0,0,1.9692577123641968
0,1,1.8164150714874268
0,2,1.5353546142578125
0,3,1.424032211303711
0,4,1.336699366569519
0,5,1.3297590017318726
0,6,1.2607215642929077
0,7,1.189481496810913
0,8,1.0717936754226685
0,9,1.0890028476715088
0,10,1.0729418992996216
0,11,1.1516331434249878
1,0,1.1460481882095337
1,1,0.9560834765434265
1,2,0.8903902769088745
1,3,0.8902233839035034
1,4,0.8125274181365967
1,5,0.8890934586524963
1,6,1.0447428226470947
1,7,0.8725460171699524
1,8,0.8980408310890198
1,9,0.8404312133789062
1,10,0.6932690739631653
1,11,0.9817262887954712
2,0,0.8477341532707214
2,1,0.6989589333534241
2,2,0.6143568754196167
2,3,0.7247878313064575
2,4,0.7943445444107056
2,5,0.7637761831283569
2,6,0.9677489399909973
2,7,0.6334136128425598
2,8,0.7811973094940186
2,9,0.6339397430419922
2,10,0.8136354088783264
2,11,0.8545602560043335
3,0,0.808416485786438
3,1,0.5881508588790894
3,2,0.6521336436271667
3,3,0.6775351166725159
3,4,0.7425346374511719
3,5,0.6756582260131836
3,6,0.6086434721946716
3,7,0.47839707136154175
3,8,0.6184807419776917
3,9,0.9771466851234436
3,10,0.6886680722236633
3,11,0.742854654788971
4,0,0.5563220977783203
4,1,0.5182821154594421
4,2,0.6511309146881104
4,3,0.670860230922699
4,4,0.8026521801948547
4,5,0.5446423292160034
4,6,0.521687924861908
4,7,0.5120666027069092
4,8,0.6260616779327393
4,9,0.5425363779067993
4,10,0.690871000289917
4,11,0.5088899731636047
5,0,0.5208152532577515
5,1,0.6068495512008667
5,2,0.599145770072937
5,3,0.5447943806648254
5,4,0.7313677072525024
5,5,0.48353320360183716
5,6,0.5455251932144165
5,7,0.5689895749092102
5,8,0.522203266620636
5,9,0.6144218444824219
5,10,0.4525330364704132
5,11,0.4872523546218872
6,0,0.4455812871456146
6,1,0.359211802482605
6,2,0.6665470004081726
6,3,0.28945544362068176
6,4,0.41944238543510437
6,5,0.69741290807724
6,6,0.46874165534973145
6,7,0.5565864443778992
6,8,0.7565069198608398
6,9,0.4322906732559204
6,10,0.5416767597198486
6,11,0.9182825088500977
7,0,0.3920022249221802
7,1,0.4714183211326599
7,2,0.5710537433624268
7,3,0.5077393651008606
7,4,0.5374844670295715
7,5,0.6903798580169678
7,6,0.5111283659934998
7,7,0.5737019777297974
7,8,0.3657868504524231
7,9,0.6531524658203125
7,10,0.48530784249305725
7,11,0.4250338077545166
8,0,0.45947393774986267
8,1,0.34861376881599426
8,2,0.5981439352035522
8,3,0.4190294146537781
8,4,0.5971316695213318
8,5,0.381897896528244
8,6,0.5108656883239746
8,7,0.5175829529762268
8,8,0.5211359858512878
8,9,0.3143339157104492
8,10,0.3843150734901428
8,11,0.8018589615821838
9,0,0.4358680844306946
9,1,0.5530754923820496
9,2,0.4645640254020691
9,3,0.43737563490867615
9,4,0.4477775990962982
9,5,0.48325303196907043
9,6,0.5785291790962219
9,7,0.495702862739563
9,8,0.45595815777778625
9,9,0.30988800525665283
9,10,0.41111838817596436
9,11,0.4593396782875061
10,0,0.3191913068294525
10,1,0.4247528314590454
10,2,0.42402011156082153
10,3,0.2343500256538391
10,4,0.46812039613723755
10,5,0.5031492710113525
10,6,0.3586627244949341
10,7,0.4557648003101349
10,8,0.5055123567581177
10,9,0.4332493245601654
10,10,0.5452731251716614
10,11,0.34047043323516846
11,0,0.3530872166156769
11,1,0.27153074741363525
11,2,0.32244014739990234
11,3,0.49099358916282654
11,4,0.3402237594127655
11,5,0.619806706905365
11,6,0.5217876434326172
11,7,0.3270433247089386
11,8,0.38269054889678955
11,9,0.3749736249446869
11,10,0.4426111578941345
11,11,0.3614721894264221
12,0,0.40281450748443604
12,1,0.4729795455932617
12,2,0.3500996530056
12,3,0.315395325422287
12,4,0.2669752538204193
12,5,0.4942292869091034
12,6,0.5356523990631104
12,7,0.3242197334766388
12,8,0.49396413564682007
12,9,0.42292630672454834
12,10,0.38758453726768494
12,11,0.43906712532043457
13,0,0.4252793788909912
13,1,0.29296043515205383
13,2,0.3333386182785034
13,3,0.3212504982948303
13,4,0.35174721479415894
13,5,0.4596320688724518
13,6,0.47156211733818054
13,7,0.39353007078170776
13,8,0.36821603775024414
13,9,0.4875657558441162
13,10,0.3759281039237976
13,11,0.4601965844631195
14,0,0.40693315863609314
14,1,0.4829947352409363
14,2,0.35583969950675964
14,3,0.3919259309768677
14,4,0.31270867586135864
14,5,0.2581614851951599
14,6,0.4167637228965759
14,7,0.3484911024570465
14,8,0.49969691038131714
14,9,0.34934180974960327
14,10,0.3993300497531891
14,11,0.3377998173236847
15,0,0.5115270614624023
15,1,0.4308476448059082
15,2,0.34226641058921814
15,3,0.35448595881462097
15,4,0.3480219841003418
15,5,0.23080743849277496
15,6,0.22823059558868408
15,7,0.36967670917510986
15,8,0.4329865574836731
15,9,0.6995455026626587
15,10,0.30968794226646423
15,11,0.42644473910331726
16,0,0.4775906801223755
16,1,0.3605031669139862
16,2,0.30941152572631836
16,3,0.4366896450519562
16,4,0.3332775831222534
16,5,0.34360718727111816
16,6,0.37917324900627136
16,7,0.3592417240142822
16,8,0.41976407170295715
16,9,0.3382653594017029
16,10,0.2883131802082062
16,11,0.3726126551628113
17,0,0.8139838576316833
17,1,0.29722148180007935
17,2,0.36323830485343933
17,3,0.19103117287158966
17,4,0.31808412075042725
17,5,0.32156050205230713
17,6,0.33831456303596497
17,7,0.3108830451965332
17,8,0.3351103961467743
17,9,0.2733926475048065
17,10,0.29596322774887085
17,11,0.30051663517951965
18,0,0.1942928582429886
18,1,0.3816249370574951
18,2,0.26790252327919006
18,3,0.44724738597869873
18,4,0.35221928358078003
18,5,0.23444172739982605
18,6,0.36402028799057007
18,7,0.3750339150428772
18,8,0.4256962239742279
18,9,0.4227534532546997
18,10,0.1944148689508438
18,11,0.2717658579349518
19,0,0.44033974409103394
19,1,0.3068280816078186
19,2,0.4040575325489044
19,3,0.3044860363006592
19,4,0.31467702984809875
19,5,0.4144851863384247
19,6,0.22598177194595337
19,7,0.3323151171207428
19,8,0.19580423831939697
19,9,0.39808180928230286
19,10,0.27445918321609497
19,11,0.32764631509780884
20,0,0.2744133770465851
20,1,0.24994295835494995
20,2,0.2829098701477051
20,3,0.34969210624694824
20,4,0.31092318892478943
20,5,0.25027814507484436
20,6,0.23407451808452606
20,7,0.36240318417549133
20,8,0.3188798427581787
20,9,0.24141202867031097
20,10,0.25786688923835754
20,11,0.4062674045562744
21,0,0.4994009733200073
21,1,0.3617050051689148
21,2,0.3430665135383606
21,3,0.3029239773750305
21,4,0.3215640187263489
21,5,0.4070442020893097
21,6,0.21697458624839783
21,7,0.30951932072639465
21,8,0.2591613531112671
21,9,0.2143765091896057
21,10,0.32889145612716675
21,11,0.21691618859767914
22,0,0.23340491950511932
22,1,0.3429933786392212
22,2,0.2591010630130768
22,3,0.3522169291973114
22,4,0.5210049152374268
22,5,0.2751905620098114
22,6,0.3637728691101074
22,7,0.3897419571876526
22,8,0.27531328797340393
22,9,0.2661558985710144
22,10,0.25414368510246277
22,11,0.3191973865032196
23,0,0.3731926679611206
23,1,0.3055601418018341
23,2,0.2980145812034607
23,3,0.3300521671772003
23,4,0.3309347629547119
23,5,0.2258995771408081
23,6,0.3254292607307434
23,7,0.622998058795929
23,8,0.3129245936870575
23,9,0.2829717993736267
23,10,0.21863512694835663
23,11,0.26179131865501404
24,0,0.2627190053462982
24,1,0.29404503107070923
24,2,0.22956985235214233
24,3,0.3376161456108093
24,4,0.3545211851596832
24,5,0.2772846817970276
24,6,0.23085705935955048
24,7,0.20874382555484772
24,8,0.40172266960144043
24,9,0.25946760177612305
24,10,0.4456559717655182
24,11,0.2627675235271454
25,0,0.24600596725940704
25,1,0.1424831598997116
25,2,0.18259786069393158
25,3,0.29490000009536743
25,4,0.2476399838924408
25,5,0.21404090523719788
25,6,0.2791944444179535
25,7,0.3100358247756958
25,8,0.39116960763931274
25,9,0.2722250521183014
25,10,0.23149947822093964
25,11,0.26922276616096497
26,0,0.19752012193202972
26,1,0.25534307956695557
26,2,0.2802883982658386
26,3,0.2676425576210022
26,4,0.3060547411441803
26,5,0.22052977979183197
26,6,0.26626771688461304
26,7,0.19115202128887177
26,8,0.37125903367996216
26,9,0.289229154586792
26,10,0.2408938854932785
26,11,0.17213362455368042
27,0,0.185918927192688
27,1,0.256466269493103
27,2,0.2445196956396103
27,3,0.23494096100330353
27,4,0.26014620065689087
27,5,0.2081933319568634
27,6,0.2123471051454544
27,7,0.2851333022117615
27,8,0.20370960235595703
27,9,0.180775985121727
27,10,0.2913849651813507
27,11,0.2253318578004837
28,0,0.2377653270959854
28,1,0.21027056872844696
28,2,0.1890028715133667
28,3,0.2282039225101471
28,4,0.2002306431531906
28,5,0.17019642889499664
28,6,0.23276303708553314
28,7,0.22026364505290985
28,8,0.21366119384765625
28,9,0.2373262345790863
28,10,0.32576119899749756
28,11,0.18904556334018707
29,0,0.16203536093235016
29,1,0.26347917318344116
29,2,0.23144522309303284
29,3,0.2958107888698578
29,4,0.24521872401237488
29,5,0.23318475484848022
29,6,0.23955383896827698
29,7,0.2481706440448761
29,8,0.2519955337047577
29,9,0.29412347078323364
29,10,0.21381375193595886
29,11,0.11364427953958511
30,0,0.25437605381011963
30,1,0.220136359333992
30,2,0.15731680393218994
30,3,0.29571136832237244
30,4,0.3389167785644531
30,5,0.34848248958587646
30,6,0.25350138545036316
30,7,0.09798476099967957
30,8,0.316443532705307
30,9,0.224619522690773
30,10,0.16615408658981323
30,11,0.24473166465759277
31,0,0.16294321417808533
31,1,0.15826359391212463
31,2,0.16442163288593292
31,3,0.39390867948532104
31,4,0.2426777482032776
31,5,0.13880231976509094
31,6,0.14619721472263336
31,7,0.2804311215877533
31,8,0.2938428521156311
31,9,0.29372307658195496
31,10,0.1594109684228897
31,11,0.31700149178504944
32,0,0.36492452025413513
32,1,0.25945377349853516
32,2,0.19151058793067932
32,3,0.2937915623188019
32,4,0.387200266122818
32,5,0.26992762088775635
32,6,0.18442754447460175
32,7,0.2643872797489166
32,8,0.22323128581047058
32,9,0.18592289090156555
32,10,0.24069680273532867
32,11,0.3625597655773163
33,0,0.24274837970733643
33,1,0.2336428314447403
33,2,0.2040589153766632
33,3,0.3263556659221649
33,4,0.22038708627223969
33,5,0.2290477603673935
33,6,0.45622092485427856
33,7,0.3302533030509949
33,8,0.2515885829925537
33,9,0.307060182094574
33,10,0.1840059757232666
33,11,0.15394529700279236
34,0,0.25363022089004517
34,1,0.26497554779052734
34,2,0.23663270473480225
34,3,0.29057085514068604
34,4,0.3084612786769867
34,5,0.2387356013059616
34,6,0.20501112937927246
34,7,0.26787295937538147
34,8,0.15806519985198975
34,9,0.23025460541248322
34,10,0.18582090735435486
34,11,0.2388547658920288
35,0,0.23044182360172272
35,1,0.15275084972381592
35,2,0.2023668736219406
35,3,0.18824508786201477
35,4,0.15800416469573975
35,5,0.17033645510673523
35,6,0.28952455520629883
35,7,0.22678640484809875
35,8,0.18245413899421692
35,9,0.2923476994037628
35,10,0.13710720837116241
35,11,0.2956697940826416
36,0,0.2688438296318054
36,1,0.1854589283466339
36,2,0.2330649048089981
36,3,0.2327030599117279
36,4,0.262837290763855
36,5,0.27100247144699097
36,6,0.21556632220745087
36,7,0.285916268825531
36,8,0.16618716716766357
36,9,0.2386023998260498
36,10,0.2634505331516266
36,11,0.1697557121515274
37,0,0.24960485100746155
37,1,0.17332704365253448
37,2,0.20127597451210022
37,3,0.14595265686511993
37,4,0.19239091873168945
37,5,0.2812211811542511
37,6,0.3202897310256958
37,7,0.21872858703136444
37,8,0.2040654718875885
37,9,0.20871369540691376
37,10,0.1838890165090561
37,11,0.22075748443603516
38,0,0.3387180268764496
38,1,0.17944183945655823
38,2,0.17584013938903809
38,3,0.1970246285200119
38,4,0.21130500733852386
38,5,0.2657155394554138
38,6,0.21916665136814117
38,7,0.1925990879535675
38,8,0.15206995606422424
38,9,0.2682141363620758
38,10,0.1663048416376114
38,11,0.3361760079860687
39,0,0.343669056892395
39,1,0.28131070733070374
39,2,0.35613444447517395
39,3,0.2319030612707138
39,4,0.21077659726142883
39,5,0.23002338409423828
39,6,0.29756438732147217
39,7,0.3306458592414856
39,8,0.24716374278068542
39,9,0.1524474322795868
39,10,0.20792248845100403
39,11,0.23882657289505005
40,0,0.17078539729118347
40,1,0.3007458448410034
40,2,0.25673702359199524
40,3,0.25825583934783936
40,4,0.16119442880153656
40,5,0.20781897008419037
40,6,0.20596778392791748
40,7,0.2033938765525818
40,8,0.2543802857398987
40,9,0.2415424883365631
40,10,0.16435189545154572
40,11,0.20395489037036896
41,0,0.2533426284790039
41,1,0.18918414413928986
41,2,0.20619477331638336
41,3,0.33453476428985596
41,4,0.2034919708967209
41,5,0.15736286342144012
41,6,0.19415469467639923
41,7,0.3855515420436859
41,8,0.13758087158203125
41,9,0.2678498327732086
41,10,0.12157384306192398
41,11,0.22273755073547363
42,0,0.1852898746728897
42,1,0.16202935576438904
42,2,0.2276133894920349
42,3,0.3510536253452301
42,4,0.13219721615314484
42,5,0.20171329379081726
42,6,0.16647584736347198
42,7,0.2738560736179352
42,8,0.17353984713554382
42,9,0.1944262683391571
42,10,0.23107564449310303
42,11,0.18162328004837036
43,0,0.1851125806570053
43,1,0.13905753195285797
43,2,0.2099055051803589
43,3,0.18939609825611115
43,4,0.18456634879112244
43,5,0.10938137769699097
43,6,0.19603189826011658
43,7,0.2946228086948395
43,8,0.22119300067424774
43,9,0.10908229649066925
43,10,0.24928022921085358
43,11,0.18697039783000946
44,0,0.16211608052253723
44,1,0.17490866780281067
44,2,0.2407105714082718
44,3,0.15204191207885742
44,4,0.2152339667081833
44,5,0.13966131210327148
44,6,0.2321750968694687
44,7,0.16331608593463898
44,8,0.1236947625875473
44,9,0.17736734449863434
44,10,0.14749257266521454
44,11,0.21135854721069336
45,0,0.20558993518352509
45,1,0.20999258756637573
45,2,0.21666744351387024
45,3,0.23574063181877136
45,4,0.1538962572813034
45,5,0.15015968680381775
45,6,0.16144393384456635
45,7,0.1255410611629486
45,8,0.15946318209171295
45,9,0.1976165771484375
45,10,0.14176665246486664
45,11,0.19784390926361084
46,0,0.1531851887702942
46,1,0.13579058647155762
46,2,0.21931084990501404
46,3,0.28308969736099243
46,4,0.1857418566942215
46,5,0.2155706286430359
46,6,0.11957921087741852
46,7,0.13536407053470612
46,8,0.20951223373413086
46,9,0.13502894341945648
46,10,0.1846945881843567
46,11,0.2200314700603485
47,0,0.1602085828781128
47,1,0.17662423849105835
47,2,0.15710149705410004
47,3,0.2023542821407318
47,4,0.1988832652568817
47,5,0.25887730717658997
47,6,0.12433408200740814
47,7,0.1866895705461502
47,8,0.194540873169899
47,9,0.2059781551361084
47,10,0.21079033613204956
